rank,industry,weight,weight_percent
1,Util,0.2701531852151389,27.015318521513894
2,Food,0.1251227772930123,12.51227772930123
3,Hshld,0.12130078712845617,12.130078712845616
4,Drugs,0.06906959319986686,6.906959319986686
5,Oil,0.06884334557314005,6.884334557314005
6,Telcm,0.0681526844018988,6.81526844018988
7,Beer,0.05835094004132488,5.835094004132488
8,Guns,0.0472818605284481,4.72818605284481
9,MedEq,0.04692110020941918,4.692110020941918
10,Whlsl,0.03174681383173757,3.1746813831737573
11,Meals,0.031136473506887127,3.1136473506887126
12,Rtail,0.028265935414900505,2.8265935414900505
13,Trans,0.021739886341645198,2.1739886341645196
14,Gold,0.011914617314124394,1.1914617314124394
15,LabEq,2.9581514980685314e-18,2.9581514980685315e-16
16,Insur,2.9059355593070752e-18,2.905935559307075e-16
17,Ships,2.609235101696458e-18,2.609235101696458e-16
18,RlEst,1.663362364698215e-18,1.663362364698215e-16
19,Cnstr,1.4428633465757579e-18,1.4428633465757579e-16
20,ElcEq,1.3229972918350712e-18,1.3229972918350712e-16
21,Mines,1.1824131658002754e-18,1.1824131658002754e-16
22,Paper,1.001249717248737e-18,1.0012497172487371e-16
23,FabPr,8.94891086797189e-19,8.948910867971889e-17
24,Comps,8.752712311540947e-19,8.752712311540947e-17
25,Hlth,7.877410590713706e-19,7.877410590713706e-17
26,Mach,4.884744498165866e-19,4.884744498165866e-17
27,Toys,0.0,0.0
28,Rubbr,0.0,0.0
29,Chems,0.0,0.0
30,Books,0.0,0.0
31,Clths,0.0,0.0
32,Steel,0.0,0.0
33,BldMt,0.0,0.0
34,Txtls,0.0,0.0
35,Autos,0.0,0.0
36,Coal,0.0,0.0
37,Aero,0.0,0.0
38,PerSv,0.0,0.0
39,BusSv,0.0,0.0
40,Boxes,0.0,0.0
41,Chips,0.0,0.0
42,Banks,0.0,0.0
43,Fin,0.0,0.0
